'a'bo'li'chuan'gan'xin'pian 阿伯莉传感芯片
'yan'shu'shi 焰术士
'yan'tian'shi'ye 岩天使叶
'yang'zhi 仰止
'ye'dan'ta 液氮塔
'ye'er'shen'wei'feng 耶尔什微风
'ye'hua'xi'rang 液化息壤
'ye'mian'sheng'jiang 液面升降
'ye'wai'sheng'wu 野外生物
'yi'bao'wu'chu'cun'tong 易爆物储存桶
'yi'feng 伊冯
'yi'liao'ta 医疗塔
'yi'ran'ning'jiao 易燃凝胶
'yi'se'you'zhi 异色油脂
'yi'shu'bao'jun 艺术暴君
'yi'wang 遗忘
'yin'dao'deng 引导灯
'yin'lu'hu'die 引路蝴蝶
'ying'guang'lei'yu 荧光雷羽
'ying'huo'qiao'hua 映火荞花
'ying'ji'lian'luo'yi 应急联络仪
'ying'ji'shou'duan 应急手段
'ying'ji'ya'suo'he 应急压缩核
'ying'ke'chong 萤壳虫
'ying'long 应龙
'ying'long'duan'ren 应龙短刃
'ying'long'hu'shou 应龙护手
'ying'long'lei'da 应龙雷达
'ying'long'shou'jia 应龙手甲
'ying'long'ya'ling 应龙哑铃
'ying'long'zhong'jia 应龙重甲
'ying'shi 萤石
'you'bao'shuang'cui 油爆双脆
'you'xi'gong'ju 游戏工具
'you'zhi'gan'shi'guan'tou 优质柑实罐头
'you'zhi'qiao'yu'jiao'nang 优质荞愈胶囊
'yu'jin 余烬
'yuan'kuang 源矿
'yuan'mu 原木
'yuan'shan 员山
'yuan'sheng'qian'shou 原生钳兽
'yuan'shi'dian'lu'xiu'fu 源石电路修复
'yuan'shi'fen'mo 源石粉末
'yuan'shi'ji'yi'qiang'du 源石技艺强度
'yue'han'lao'die'han'bao 约翰老爹汉堡
'yue'yan'cha'he 岳研茶盒
'zai'ci'ce'shi 再次测试
'zan'cun'neng'liang'yu'ji'dian 暂存能量淤积点
'zeng'fu 增幅
'zhan'dou'fu'zhu 战斗辅助
'zhan'ji 战技
'zhan'shu'wu'pin 战术物品
'zhao'ya 爪牙
'zhen'gui'cai'liao 珍贵材料
'zhen'lie'wen'ding'zhuang 阵列稳定桩
'zheng'ben'bu'yuan'tang'ji 正本补元汤剂
'zhi'jing'duo'chi'ye 至晶多齿叶
'zhi'jing'duo'chi'ye'gen'jing 至晶多齿叶根茎
'zhi'mi'lan'tie'fen'mo 致密蓝铁粉末
'zhi'mi'pin'ti'fen'mo 致密品体粉末
'zhi'mi'tan'fen'mo 致密碳粉末
'zhi'mi'yuan'shi'fen'mo 致密源石粉末
'zhi'yu'he 治愈核
'zhi'zao'cang 制造舱
'zhong'an'shi 中黯石
'zhong'an'shi 重黯石
'zhong'an'shi'zi'cu 中黯石子簇
'zhong'an'shi'zi'cu 重黯石子簇
'zhong'ci'tian'shi 重刺天使
'zhong'dian'zhi'sheng 终点之声
'zhong'du'neng'liang'yu'ji'dian 重度能量淤积点
'zhong'he 重荷
'zhong'hong'zhu'zhuang'jun 中红柱状菌
'zhong'hong'zhu'zhuang'jun 重红柱状菌
'zhong'hong'zhu'zhuang'jun'kuai 中红柱状菌块
'zhong'hong'zhu'zhuang'jun'kuai 重红柱状菌块
'zhong'ji 重击
'zhong'ji'qi 中继器
'zhong'ji'qi'gong'dian 中继器供电
'zhong'ji'zuo'zhan'ji'lu 中级作战记录
'zhong'jie'ji 终结技
'zhong'kong'yi'xiang'shi 中空异香石
'zhong'mo'di 终末地
'zhong'rong'gu'di'dian'chi 中容谷地电池
'zhong'xing'qiang'gu'mu'ju 重型强固模具
'zhong'zhi 种植
'zhong'zhi'ji 种植机
'zhong'zhi'tiao'pei 种植调配
'zhou'xue 昼雪
'zhuan'jiao'yun'song'wei'tuo 转交运送委托
'zhuan'lun'ji'guan 转轮机关
'zhuang'bei 装备
'zhuang'bei'jia'gong 装备加工
'zhuang'bei'jing'duan 装备精锻
'zhuang'bei'mu'ban'xiang 装备模板箱
'zhuang'bei'tu'jian 装备图鉴
'zhuang'bei'yuan'jian 装备原件
'zhuang'bei'yuan'jian'ji 装备原件机
'zhuang'bei'zhi'zao 装备制造
'zhuang'tai'xiao'hao 状态消耗
'zhuang'xiang'yun'song 装箱运送
'zhuo'ke'chong 灼壳虫
'zhuo'liu'qie'ge'ju 浊流切割炬
'zhuo'liu'tian'shi 浊流天使
'zhuo're 灼热
'zhuo're'bao'fa 灼热爆发
'zhuo're'fu'zhuo 灼热附着
'zhuo're'shang'hai 灼热伤害
'zi'dong'pen'qi'zhuang'zhi 自动喷气装置
'zi'jing'fen'mo 紫晶粉末
'zi'jing'kuang 紫晶矿
'zi'jing'ling'jian 紫晶零件
'zi'jing'xian'wei 紫晶纤维
'zi'jing'zhi'ping 紫晶质瓶
'zi'jing'zhuang'bei'yuan'jian 紫晶装备原件
'zi'ran 自然
'zi'ran'bao'fa 自然爆发
'zi'ran'fu'zhuo 自然附着
'zi'ran'shang'hai 自然伤害
'zi'ran'zi'yuan 自然资源
'zi'yuan'hui'shou'zhan 资源回收站
'zi'yuan'kai'cai 资源开采
'zong'kong'zhong'shu 总控中枢
'zuo'pin'zhong'sheng 作品众生
'zuo'zhan'ji'lu 作战记录
