'an'juan'zhuang'tai 案卷状态
'ti'qu'shi'xiang 提取事项
'ti'qu'shi'xiang'zhuang'tai 提取事项状态
'ti'qu'yuan'yin 提取原因
'ti'qu'zhou'qi 提取周期
'tiao'li 条例
'tie'xi 贴息
'ting'zheng'cheng'xu 听证程序
'tong'yi'guan'li 统一管理
'tong'yi'he'suan 统一核算
'tong'yi'jue'ce 统一决策
'tong'yi'ping'tai 统一平台
'tong'yi'zhi'du 统一制度
'tou'ming'hua'yun'zuo 透明化运作
'tou'su'chu'li 投诉处理
'tou'su'lv 投诉率
'tou'su'quan 投诉权
'tu'fa'shi'jian'ti'qu 突发事件提取
'tui'hui'lei'xing 退回类型
'tui'kuan'lei'bie 退款类别
'tui'kuan'yuan'yin 退款原因
'tui'xiu 退休
'tuo'shou'deng'ji'zhuang'tai 托收登记状态
'wai'bu'jian'du 外部监督
'wai'bu'shen'ji 外部审计
'wai'lian'cao'zuo'lei'xing 外联操作类型
'wai'lian'ke'hu'lei'xing 外联客户类型
'wai'shang'tou'zi'qi'ye 外商投资企业
'wan'quan'sang'shi'lao'dong'neng'li 完全丧失劳动能力
'wang'qian'he'tong 网签合同
'wang'shang'ye'wu 网上业务
'wei'gui'chu'fa 违规处罚
'wei'gui'xing'wei 违规行为
'wei'ji'guan'li 危机管理
'wei'jiao 未交
'wei'jiao 未缴
'wei'tuo'dai'ban 委托代办
'wei'tuo'he'tong 委托合同
'wen'ding'jiu'ye 稳定就业
'xi'tong'bian'ma 系统编码
'xi'tong'dui'jie 系统对接
'xi'tong'xing'feng'xian 系统性风险
'xi'tong'yun'wei'zhuang'tai 系统运维状态
'xia'xian 下限
'xian'chang'he'shi 现场核实
'xian'dai'hua'guan'li 现代化管理
'xian'shang'ban'li 线上办理
'xian'shi'ban'jie 限时办结
'xian'xia'ban'li 线下办理
'xiang'mu'dai'kuan'di'ya'wu'lei'xing 项目贷款抵押物类型
'xiang'mu'dai'kuan'fa'fang'fang'shi 项目贷款发放方式
'xiang'mu'dai'kuan'huan'ben'fang'shi 项目贷款还本方式
'xiang'mu'dai'kuan'ye'wu'ming'xi'lei'xing 项目贷款业务明细类型
'xiang'mu'dai'kuan'zi'jin'zhi'fu'yong'tu 项目贷款资金支付用途
'xiang'mu'fen'lei 项目分类
'xiang'ying'shi'jian 响应时间
'xiao'guo'jian'ce 效果监测
'xiao'hu'yuan'yin 销户原因
'xiao'lv'you'xian 效率优先
'xie'shang'ji'zhi 协商机制
'xie'tong'zhi'li 协同治理
'xie'yi'lei'xing 协议类型
'xie'yi'zhuang'tai 协议状态
'xin'can'jia'gong'zuo'zhi'gong 新参加工作职工
'xin'diao'ru'zhi'gong 新调入职工
'xin'xi'an'quan 信息安全
'xin'xi'geng'xin 信息更新
'xin'xi'gong'kai 信息公开
'xin'xi'gong'xiang 信息共享
'xin'xi'hu'tong 信息互通
'xin'xi'pi'lu 信息披露
'xin'xi'zhen'shi'xing 信息真实性
'xin'xing'cheng'zhen'hua 新型城镇化
'xin'yong'deng'ji 信用等级
'xin'yong'ji'lu 信用记录
'xing'bie 性别
'xing'shi'shen'cha 形式审查
'xing'shi'ze'ren 刑事责任
'xing'zheng'chu'fa 行政处罚
'xing'zheng'chu'fa'jue'ding'shu 行政处罚决定书
'xing'zheng'fu'yi 行政复议
'xing'zheng'qu'hua 行政区划
'xing'zheng'su'song 行政诉讼
'xu'jia'cai'liao 虚假材料
'xu'ni'zhang'hao'ling'yong'ke'hu'lei'xing 虚拟账号领用客户类型
'xue'li 学历
'xue'wei 学位
'xun'jian'biao'zhun 巡检标准
'xun'jian'lei'bie 巡检类别
'yan'zhong'cheng'du 严重程度
'ye'wu'ban'li'shi'xian 业务办理时限
'ye'wu'dui'xiang'lei'xing 业务对象类型
'ye'wu'guan'li'bian'geng'xiang'mu 业务管理变更项目
'ye'wu'he'gui'xing 业务合规性
'ye'wu'lei'xing 业务类型
'ye'wu'shou'li'zhuang'tai 业务受理状态
'ye'wu'xie'tong 业务协同
'ye'zhu'lei'xing 业主类型
'yi'bu'jiao'huan'bao'wen'lei'xing 异步交换报文类型
'yi'bu'jiao'huan'gui'ze'mu'ban 异步交换规则模板
'yi'ci'xing'gao'zhi 一次性告知
'yi'di'dai'kuan'qing'kuang 异地贷款情况
'yi'di'gou'fang 异地购房
'yi'di'zhuan'yi 异地转移
'yi'dong'ying'yong 移动应用
'yi'fa'xing'zheng 依法行政
'yi'jiao'fang'shi 移交方式
'yi'wu'lv'xing 义务履行
'yi'zhan'shi'fu'wu 一站式服务
'yin'hang'bian'hao 银行编号
'yin'hang'zhang'hu'lei'xing 银行账户类型
'yin'hang'zhang'hu'xin'xi 银行账户信息
'yin'si'bao'hu 隐私保护
'ying'ji'xiang'ying 应急响应
'ying'jiao 应缴
'yong'hu'gang'wei 用户岗位
'yong'hu'ti'yan 用户体验
'you'xian'ji 优先级
'yu'e 余额
'yu'qi'dai'kuan 逾期贷款
'yu'shen'qing'ren'guan'xi 与申请人关系
'yu'ti'lei'xing 预提类型
'yu'ti'zhou'qi 预提周期
'yue'jiao'cun'e 月缴存额
'yue'ping'jun'gong'zi 月平均工资
'yue'ying'jiao'e 月应缴额
'yun'wei'zhuang'tai 运维状态
'zai'xian'ke'fu 在线客服
'zan'xing 暂行
'zan'xing'gui'ding 暂行规定
'ze'ren'zhui'jiu 责任追究
'zeng'zhi 增值
'zeng'zhi'shou'yi 增值收益
'zhai'quan'pin'zhong 债券品种
'zhang'hu 账户
'zhang'hu'cha'xun'mi'ma 账户查询密码
'zhang'hu'he'bing 账户合并
'zhang'hu'lei'xing 账户类型
'zhang'hu'she'li 账户设立
'zhang'hu'zhu'xiao 账户注销
'zhang'hu'zhuan'yi 账户转移
'zhang'hu'zhuang'tai 账户状态
'zheng'ce'fu'gai'fan'wei 政策覆盖范围
'zheng'ce'gong'ping'xing 政策公平性
'zheng'ce'jie'shi'quan 政策解释权
'zheng'ce'ping'gu 政策评估
'zheng'ce'shi'dian 政策试点
'zheng'ce'tiao'zheng 政策调整
'zheng'ce'xian'jie 政策衔接
'zheng'ce'xing 政策性
'zheng'ce'xing'zhu'fang'jin'rong 政策性住房金融
'zheng'ce'xuan'chuan 政策宣传
'zheng'ce'yan'xu'xing 政策延续性
'zheng'ce'zhi'chi 政策支持
'zheng'ce'zhi'chi'du 政策支持度
'zheng'ce'zhi'xiao'du 政策知晓度
'zheng'fu 政府
'zheng'fu'jian'guan'ze'ren 政府监管责任
'zheng'gai'yao'qiu 整改要求
'zheng'jian'lei'xing 证件类型
'zheng'xin'bao'gao 征信报告
'zheng'yi'chu'li 争议处理
'zhi'biao'fen'lei 指标分类
'zhi'biao'lei'xing 指标类型
'zhi'biao'shu'xing 指标属性
'zhi'cheng 职称
'zhi'chi'lao'jiu'xiao'qu'gai'zao 支持老旧小区改造
'zhi'du 制度
'zhi'du'bao'rong'xing 制度包容性
'zhi'du'gang'xing 制度刚性
'zhi'du'man'yi'du 制度满意度
'zhi'du'ren'xing 制度韧性
'zhi'du'tong'yi'xing 制度统一性
'zhi'du'wan'shan 制度完善
'zhi'du'xin'ren 制度信任
'zhi'gong 职工
'zhi'gong'dai'biao'da'hui 职工代表大会
'zhi'gong'quan'yi 职工权益
'zhi'hui'jian'guan 智慧监管
'zhi'li'neng'li 治理能力
'zhi'neng'hua'fu'wu 智能化服务
'zhi'neng'shen'pi 智能审批
'zhi'qing'quan 知情权
'zhi'qu'fan'wei 支取范围
'zhi'qu'qing'kuang 支取情况
'zhi'shi'fen'lei 知识分类
'zhi'wu 职务
'zhi'xi'qin'shu 直系亲属
'zhi'xing'ji'gou 执行机构
'zhi'xing'li'du 执行力度
'zhi'xing'yi'zhi'xing 执行一致性
'zhi'ya 质押
'zhi'ye 职业
'zhi'ye'fen'lei 职业分类
'zhi'ye'gong'neng 职业功能
'zhong'lei 种类
'zhong'xin 中心
'zhong'xin'bian'hao 中心编号
'zhong'yao'xing 重要性
'zhou'qi 周期
'zhu'fang'bao'zhang 住房保障
'zhu'fang'bu'tie 住房补贴
'zhu'fang'fa'zhan 住房发展
'zhu'fang'gai'ge 住房改革
'zhu'fang'gong'ji'jin 住房公积金
'zhu'fang'gong'ji'jin'guan'li'tiao'li 住房公积金管理条例
'zhu'fang'gong'ji'jin'guan'li'wei'yuan'hui 住房公积金管理委员会
'zhu'fang'gong'ji'jin'guan'li'zhong'xin 住房公积金管理中心
'zhu'fang'gong'ji'jin'ji'hua 住房公积金计划
'zhu'fang'gong'ji'jin'shu'di'guan'li 住房公积金属地管理
'zhu'fang'gong'ji'jin'zhi'chi'zu'lin 住房公积金支持租赁
'zhu'fang'gong'ji'jin'zhi'du 住房公积金制度
'zhu'fang'gong'ping 住房公平
'zhu'fang'jin'rong'ti'xi 住房金融体系
'zhu'fang'xiao'fei 住房消费
'zhu'fang'xin'dai'zheng'ce 住房信贷政策
'zhu'jie'kuan'ren 主借款人
'zhuan'hu 专户
'zhuan'hu'xing'zhi 专户性质
'zhuan'hu'zhang'hu'lei'xing 专户账户类型
'zhuan'hu'zhang'hu'xing'zhi 专户账户性质
'zhuan'hu'zhuang'tai 专户状态
'zhuan'xiang'jian'cha 专项检查
'zhuan'yi 转移
'zhuan'yi'jie'xu'ping'tai'shi'fou 转移接续平台是否
'zhuan'yong'xing 专用性
'zhuang'pei'shi'jian'zhu'ping'jia'deng'ji 装配式建筑评价等级
'zhuang'xiu'lei'xing 装修类型
'zi'chan'zhuan'rang'biao'zhi 资产转让标志
'zi'dong'hua'chu'li 自动化处理
'zi'duan'lei'xing 字段类型
'zi'jin'an'quan 资金安全
'zi'jin'an'quan'du 资金安全度
'zi'jin'diao'bo 资金调拨
'zi'jin'guan'li'mo'shi 资金管理模式
'zi'jin'gui'ji 资金归集
'zi'jin'lai'yuan 资金来源
'zi'jin'liu'dong'xing 资金流动性
'zi'jin'liu'ru'lai'yuan 资金流入来源
'zi'jin'shi'yong'xiao'lv 资金使用效率
'zi'jin'ye'wu'lei'xing 资金业务类型
'zi'jin'yun'yong 资金运用
'zi'jin'zhui'hui 资金追回
'zi'nv 子女
'zi'you'cai'liang'quan 自由裁量权
'zi'you'zhi'ye'zhe 自由职业者
'zi'yuan'jiao'cun 自愿缴存
'zi'yuan'pei'zhi 资源配置
'zi'zhi'deng'ji 资质等级
'zi'zhu'zhong'duan 自助终端
'zu'fang'ren'lei'xing 租房人类型
'zu'fang'zhong'lei 租房种类
'zu'lin'bei'an 租赁备案
'zu'lin'fa'piao 租赁发票
'zu'lin'zhu'fang'ti'qu 租赁住房提取
'zui'duo'pao'yi'ci 最多跑一次
