'a'er'da'rui'si 阿尔达瑞斯
'xiu'bo'li'an'hao 休伯利安号
'xiu'mu'yang 朽木楊
'xu'kong'cao'zong 虚空操纵
'xu'kong'chong'sheng 虚空重生
'xu'kong'chuan'bo 虚空传播
'xu'kong'fan'shi 虚空反噬
'xu'kong'fu'chou 虚空复仇
'xu'kong'gou'zao'ti 虚空构造体
'xu'kong'hui'guang'jian 虚空辉光舰
'xu'kong'hui'guang'jian'jing'ying 虚空辉光舰精英
'xu'kong'jian'dui 虚空舰队
'xu'kong'jing'hua 虚空净化
'xu'kong'ju'zhen 虚空矩阵
'xu'kong'ke'long 虚空克隆
'xu'kong'neng'liang 虚空能量
'xu'kong'shui'jing 虚空水晶
'xu'kong'si'lie'zhe 虚空撕裂者
'xu'kong'tou'ying 虚空投影
'xu'kong'xi'shou 虚空吸收
'xu'kong'xian'qu 虚空先驱
'xu'kong'xun'mi 虚空寻觅
'xu'kong'yuan'jun 虚空援军
'xu'kong'zao'wu 虚空造物
'xu'kong'zhi'fu 虚空之缚
'xu'kong'zhi'pei 虚空支配
'xun'lian'ying 训练营
'ya'li'shan'da'hao 亚历山大号
'yan'chong 眼虫
'yan'mie'gou'zao'ti 湮灭构造体
'ye'man'chong'zhuang 野蛮冲撞
'yi'bao'gan'ran'ti 易爆感染体
'yi'bing'chuan'bo'ti 疫病传播体
'yi'hu'xiao'zu 医护小组
'yi'ji'zhan'bei 一级战备
'yi'liao'bing 医疗兵
'yi'liao'bing'jing'ying 医疗兵精英
'yi'liao'xiao'dui 医疗小队
'yi'liao'yun'shu'ji 医疗运输机
'yi'liao'yun'shu'ji'jing'ying 医疗运输机精英
'yi'long 异龙
'yi'long'bian'zhong 异龙变种
'yi'long'jing'ying 异龙精英
'yi'long'nu'pu 异龙奴仆
'yin'li'luan'liu 引力乱流
'yin'mi'hui'shou 隐秘回收
'yin'mi'xing'dong 隐秘行动
'yin'ni'yi'ji 隐匿一击
'ying'hua'wai'ke 硬化外壳
'ying'ji'gu'pian 应激骨片
'ying'ji'tui'jin 应急推进
'ying'xiong'ji'jie 英雄集结
'you'er'lan 尤尔兰
'you'hun 幽魂
'you'hun'jun'xiao 幽魂军校
'you'ji'fen'jie 有机分解
'you'lei'shou 幼雷兽
'you'ling 幽灵
'you'ling'bao'dao 幽灵报道
'you'qi'bing 游骑兵
'you'shi'she'cheng 优势射程
'you'tiao'dou'jiang 油条豆浆
'yu'ren'lu'zhan'dui'yuan 鱼人陆战队员
'yu'zhao 预兆
'yuan'gu'gou'zao'ti 远古构造体
'yuan'gu'mo'kuai 远古模块
'yuan'gu'yi'ji 远古遗迹
'yuan'ling'zhan'ji 怨灵战机
'yuan'ling'zhan'ji'jing'ying 怨灵战机精英
'yuan'shi'bao'long'shou 原始暴龙兽
'yuan'shi'chuan'ci'zhe 原始穿刺者
'yuan'shi'ci'she 原始刺蛇
'yuan'shi'dian'huo'chong 原始点火虫
'yuan'shi'dou'zheng 原始斗争
'yuan'shi'fen'lie 原始分裂
'yuan'shi'jia'qiao 原始甲壳
'yuan'shi'jian'ci 原始尖刺
'yuan'shi'lei'shou 原始雷兽
'yuan'shi'ru'chong 原始蠕虫
'yuan'shi'shou'wei 原始守卫
'yuan'shi'si'lie 原始撕裂
'yuan'shi'tiao'chong 原始跳虫
'yuan'shi'yi'long 原始异龙
'yuan'shi'zhang'lang 原始蟑螂
'yuan'shi'zhu'chao 原始主巢
'yuan'shou'gui'ying 元首鬼影
'yuan'zheng'jian'dui 远征舰队
'zai'sheng'hu'jia 再生护甲
'ze'la'tu 泽拉图
'zeng'sheng'di'bao 增生地堡
'zha'dan'guai 炸弹怪
'zha'jia'la 扎加拉
'zhan'chang'ji'jiu 战场急救
'zhan'di'hao'zhu 战地豪猪
'zhan'dou'ji'yin 战斗基因
'zhan'dou'yi'zhi 战斗意志
'zhan'lang 战狼
'zhan'lang'jing'ying 战狼精英
'zhan'lie'xun'hang'jian 战列巡航舰
'zhan'lie'xun'hang'jian'jing'ying 战列巡航舰精英
'zhan'shi'zhi'lu 战士之路
'zhan'shu'bu'shu 战术部署
'zhan'shu'ji'jie 战术集结
'zhan'shu'miao'ju 战术瞄具
'zhan'shu'tu'xi 战术突袭
'zhan'shu'tui'jin 战术推进
'zhan'shu'yin'xing 战术隐形
'zhan'shu'zhuang'bei 战术装备
'zhan'zheng'dong'yuan 战争动员
'zhan'zheng'e'quan 战争恶犬
'zhan'zheng'ji'xie 战争机械
'zhan'zheng'pao'hui 战争炮灰
'zhan'zheng'ping'zhang 战争屏障
'zhan'zheng'tao'bing 战争逃兵
'zhang'lang 蟑螂
'zhang'lang'bian'zhong 蟑螂变种
'zhang'lang'jing'ying 蟑螂精英
'zhang'lang'xiao'dui 蟑螂小队
'zhe'yue 折跃
'zhe'yue'gong'shi 折跃攻势
'zhe'yue'ju'zhen 折跃矩阵
'zhe'yue'leng'jing 折跃棱镜
'zhe'yue'yuan'jun 折跃援军
'zhen'ce'qi 侦测器
'zhen'cha'ji 侦察机
'zhen'cha'ji'jing'ying 侦察机精英
'zhen'di'fang'yu 阵地防御
'zheng'bing'ling 征兵令
'zhi'jie'xi'shou 肢解吸收
'zhi'neng'ji'xie 智能机械
'zhi'neng'si'fu 智能伺服
'zhi'ti'bian'yi 肢体变异
'zhi'yu'she'xian 治愈射线
'zhi'yuan'kong'tou 支援空投
'zhi'zheng'guan 执政官
'zhi'zheng'guan'jing'ying 执政官精英
'zhi'zun'tong'yu 至尊统御
'zhong'cai'zhe 仲裁者
'zhong'ji'fa'xian 终极发现
'zhong'ji'jin'hua 终极进化
'zhong'li'guo'zai 重力过载
'zhong'li'niu'qu 重力扭曲
'zhong'li'zha'dan 重力炸弹
'zhong'pao'ji'pao 重炮机炮
'zhong'pao'zhuang'pei 重炮装配
'zhou'si'deng'lu'chuan 宙斯登陆船
'zhu'chao'xin'zhi'mo'ni'qi 主巢心智模拟器
'zhu'luan 注卵
'zhu'luan'chong'hou 注卵虫后
'zhuan'huan'neng'yuan 转换能源
'zhuang'bei'kuo'chong 装备扩充
'zhuang'bei'mo'kuai 装备模块
'zhuang'jia'mo'kuai 装甲模块
'zhuang'jia'zhan'che 装甲战车
'zhui'lie'zhe 追猎者
'zhui'lie'zhe'jing'ying 追猎者精英
'zi'dong'cui'qu'fang 自动萃取房
'zi'dong'xiu'li 自动修理
'zi'dong'zhuang'tian 自动装填
'zi'hui 自毁
'zi'you'xian'feng 自由先锋
'zu'zhi'zai'sheng 组织再生
'zu'zhou 诅咒
'zu'zhou'chong'jian 诅咒虫茧
'zu'zhou'gan'ran 诅咒感染
'zuo'la'ya 佐拉亚
'zuo'zhan'pao'tai 作战炮台
'zuo'zhan'xiao'neng 作战效能
'zuo'zhan'zhi'hui'zhong'xin 作战指挥中心
'zuo'zhan'zhong'xin 作战中心
'zuo'zhan'zi'yuan'fang'an 作战资源方案
