'a'ba 阿爸
'da'mo'gu 大蘑菇
'da'mo'mo'shi 达摩模式
'da'mu'de'xin 大木的信
'da'nai'guan 大奶罐
'da'nao'yi'fan 大闹一番
'da'niu'la 大狃拉
'da'qian'xie 大钳蟹
'da'qian'xie'de'tang'guo 大钳蟹的糖果
'da'qing'tian 大晴天
'da'ren'dai 达人带
'da'ri'zhao 大日照
'da'sao'chu 大扫除
'da'she'bei 大舌贝
'da'she'bei'de'tang'guo 大舌贝的糖果
'da'she'bei'de'zhen'zhu 大舌贝的珍珠
'da'she'deng'yan 大蛇瞪眼
'da'she'tian 大舌舔
'da'she'tou 大舌头
'da'she'tou'de'tang'guo 大舌头的糖果
'da'sheng'pao'xiao 大声咆哮
'da'shi 大师
'da'shi'dui'zhan'jiang'zhang 大师对战奖章
'da'shi'dui'zhan'shu'jiang'zhang 大师对战树奖章
'da'shi'hua 大食花
'da'shi'hua'jin'hua'shi 大食花进化石
'da'shi'qiu 大师球
'da'tan'che 大炭车
'da'ting 达汀
'da'wang'tong'xiang 大王铜象
'da'wang'yan 大王燕
'da'wei 达卫
'da'wei'li 大尾狸
'da'wei'li 大尾立
'da'xi'cui'zhan 大洗翠展
'da'xiao 达筱
'da'xing 达兴
'da'ya'li 大牙狸
'da'yan'she 大岩蛇
'da'yan'she'de'tang'guo 大岩蛇的糖果
'da'yang'hua'wen 大洋花纹
'da'yi'jiang'zhang 大意奖章
'da'yu 大雨
'da'yu'guai 大宇怪
'da'zai'nan 大灾难
'da'zhen'feng 大针蜂
'da'zhen'feng'jin'hua'shi 大针蜂进化石
'da'zhen'zhu 大珍珠
'da'zhi 大智
'da'zhu'kui 大竺葵
'da'zhu'kui'jin'hua'shi 大竺葵进化石
'da'zhu'sun 大竹笋
'da'zi'bao'yan 大字爆炎
'da'zi'ran'yi'zi 大自然椅子
'da'zi'ran'zhuo'jin 大自然桌巾
'da'zui'fu 大嘴蝠
'da'zui'ou 大嘴鸥
'da'zui'que 大嘴雀
'da'zui'wa 大嘴娃
'da'zui'wa'jin'hua'shi 大嘴娃进化石
'dai'bi'he 代币盒
'dai'biao 代表
'dai'dai'shou 呆呆兽
'dai'dai'shou'de'tang'guo 呆呆兽的糖果
'dai'dai'shou'de'zhua'zi 呆呆兽的爪子
'dai'dai'shou'shui'bei 呆呆兽水杯
'dai'dai'wang 呆呆王
'dai'dai'wu 戴带屋
'dai'huo'e 呆火鳄
'dai'huo'tuo 呆火驼
'dai'huo'tuo'de'rong'yan 呆火驼的熔岩
'dai'ke'shou 呆壳兽
'dai'ke'shou'jin'hua'shi 呆壳兽进化石
'dai'la'ji'weng 代拉基翁
'dai'la'ji'weng'de'dian'xin 代拉基翁的点心
'dai'lu 戴路
'dai'lu'bi 戴鲁比
'dai'lu'bi'de'ya 戴鲁比的牙
'dai'luo 玳萝
'dai'luo'de'yi'wang'wu 玳萝的遗忘物
'dai'ou'qi'xi'si 代欧奇希斯
'dai'shou 袋兽
'dai'shou'de'tang'guo 袋兽的糖果
'dai'shou'jin'hua'shi 袋兽进化石
'dai'zhuang'guo'shi 袋装果实
'dai'zhuang'shu'cai 袋装蔬菜
'dai'zhuang'tu'dou 袋装土豆
'dai'zhuang'xun'gu 袋装蕈菇
'dan'chun 单纯
'dan'chun'guang'shu 单纯光束
'dan'dan 蛋蛋
'dan'dan'de'ke 蛋蛋的壳
'dan'dan'de'tang'guo 蛋蛋的糖果
'dan'du'de'yang'zi 单独的样子
'dan'huang'jiang 蛋黄酱
'dan'liang 胆量
'dan'luan'xi'bao'qiu 单卵细胞球
'dan'luan'xi'bao'qiu'de'ning'jiao 单卵细胞球的凝胶
'dan'ni'er 丹尼尔
'dan'qie 胆怯
'dan'qie'qiu 胆怯球
'dan'shou'long 单首龙
'dan'shou'long'de'lin'pian 单首龙的鳞片
'dan'xiao 胆小
'dan'xiao'bo'he 胆小薄荷
'dan'xiao'chong 胆小虫
'dan'zhu 弹珠
'dan'zi'qi 弹子萁
'dang'lu 挡路
'dao'dan'xiao'yao 捣蛋小妖
'dao'dan'xiao'yao'de'mao 捣蛋小妖的毛
'dao'guan'guan'zhu 道馆馆主
'dao'jian'xing'tai 刀剑形态
'dao'long 道隆
'dao'yan 导演
'de'er'ta'qi'liu 德尔塔气流
'de'wen'de'wu'pin 得文的物品
'de'wen'qian'shui'zhuang'bei 得文潜水装备
'de'wen'zhen'ce'jing 得文侦测镜
'deng'huo'you'ling 灯火幽灵
'deng'ji'qiu 等级球
'deng'jiang'guo 灯浆果
'deng'li'zi'ka 等离子卡
'deng'li'zi'shan'dian'quan 等离子闪电拳
'deng'li'zi'yu 等离子浴
'deng'long'yu 灯笼鱼
'deng'long'yu'de'dian'li 灯笼鱼的电力
'deng'shan'nv'hai 登山女孩
'deng'yan 瞪眼
'deng'zhao'ye'gu 灯罩夜菇
'di'an'xi 蒂安希
'di'an'xi'jin'hua'shi 蒂安希进化石
'di'di 笛迪
'di'diao'de'yang'zi 低调的样子
'di'kang'nian'gao 抵抗粘糕
'di'kang'zhi'yu 抵抗之羽
'di'lei'miao 蒂蕾喵
'di'lie 地裂
'di'man'yan 地幔岩
'di'mian 地面
'di'mian'bao'shi 地面宝石
'di'mian'tai'jing'sui'kuai 地面太晶碎块
'di'qiu'jiang'zhang 地球奖章
'di'qiu'shang'tou 地球上投
'di'qu'guan'jun'jiang'zhang 地区冠军奖章
'di'qu'jiang'zhang 地区奖章
'di'shang 帝尚
'di'shu 地鼠
'di'shu'de'tang'guo 地鼠的糖果
'di'shu'de'tu 地鼠的土
'di'tu 地图
'di'wang'na'bo 帝王拿波
'di'xia'shui'dao'ru'kou 地下水道入口
'di'xia'yao'shi 地下钥匙
'di'ya'hai'shi 帝牙海狮
'di'ya'lu'ka 帝牙卢卡
'di'zhen 地震
'di'zhu 滴蛛
'di'zhu'ba 滴蛛霸
'di'zhu'de'si 滴蛛的丝
'dian'ci'bo 电磁波
'dian'ci'pao 电磁炮
'dian'ci'piao'fu 电磁飘浮
'dian'dao 颠倒
'dian'dao'shao 颠倒烧
'dian'dao'wei'zhi 点到为止
'dian'deng'guai 电灯怪
'dian'dian'chong 电电虫
'dian'dian'chong'de'si 电电虫的丝
'dian'dian'jia'su 电电加速
'dian'du'wa 电肚蛙
'dian'fei'shu 电飞鼠
'dian'guang 电光
'dian'guang'shu 电光束
'dian'guang'shuang'ji 电光双击
'dian'guang'yi'shan 电光一闪
'dian'hai'yan 电海燕
'dian'hai'yan'de'yu'mao 电海燕的羽毛
'dian'hui 电喙
'dian'ji 电击
'dian'ji'bo 电击波
'dian'ji'guai 电击怪
'dian'ji'guai'de'mao 电击怪的毛
'dian'ji'mo'shou 电击魔兽
'dian'ji'shou 电击兽
'dian'ji'shou'de'tang'guo 电击兽的糖果
'dian'jing'qiu 电竞球
'dian'jing'ti 电晶体
'dian'jiu 典久
'dian'lan'se'bao'zhu 靛蓝色宝珠
'dian'li 典立
'dian'li'shang'sheng 电力上升
'dian'li'zeng'fu'qi 电力增幅器
'dian'li'zhuan'huan 电力转换
'dian'long 电龙
'dian'long'jin'hua'shi 电龙进化石
'dian'mei'guo 靛莓果
'dian'qi'chang'di 电气场地
'dian'qi'pi'fu 电气皮肤
'dian'qi'qiu 电气球
'dian'qi'yin'qing 电气引擎
'dian'qi'zhi'zao'zhe 电气制造者
'dian'qi'zhong'zi 电气种子
'dian'qiu 电球
'dian'shu'ka 点数卡
'dian'shu'mu 电束木
'dian'su'mi'a'lei'dian 电速密阿雷店
'dian'tai'jing'sui'kuai 电太晶碎块
'dian'ti'yao'shi 电梯钥匙
'dian'wang 电网
'dian'xue 点穴
'dian'yin'ying 电音婴
'dian'yin'ying'de'dian'li 电音婴的电力
'dian'ying'chong 电萤虫
'dian'ying'chong'de'zhi'ye 电萤虫的汁液
'dian'zhi'bao'shi 电之宝石
'dian'zhi'zhu 电蜘蛛
'dian'zi'cun'chu'die 电子存储碟
'diao'bao 掉包
'diao'bao 碉堡
'diao'chu'zhong'zi 掉出种子
'diao'gan 钓竿
'die'die'bu'xiu 喋喋不休
'die'jie'meng'meng 蝶结萌虻
'die'shi'ban 迭失板
'die'shi'guan 迭失棺
'die'wu 蝶舞
'ding'ji'can'guan 鼎极餐馆
'ding'jiao'ka'fei'guan 定焦咖啡馆
'ding'shen'fa 定身法
'dong'dong'shu 咚咚鼠
'dong'dong'shu'de'mao 咚咚鼠的毛
'dong'hai 东海
'dong'ji'long 冻脊龙
'dong'ma 冬马
'dong'ri'da'dao 冬日大道
'dong'shang 冻伤
'dong'shi'miao 东施喵
'dong'tian'de'yang'zi 冬天的样子
'dong'yao'zhi'zheng 动摇之证
'dong'yuan'xiong 冻原熊
'dong'zhu 冬珠
'dou'ban'cai 豆瓣菜
'dou'dou'ge 豆豆鸽
'dou'fu 豆腐
'dou'li'gu 斗笠菇
'dou'xi'shuai 豆蟋蟀
'dou'xi'shuai'de'zhua'zi 豆蟋蟀的爪子
'dou'you'tuan 豆诱团
'dou'zheng'xin 斗争心
'dou'zi'guan'tou 豆子罐头
'du'bei'bi 毒贝比
'du'ci 毒刺
'du'ci'shui'mu 毒刺水母
'du'cun'chu'die 毒存储碟
'du'du 嘟嘟
'du'du'de'tang'guo 嘟嘟的糖果
'du'du'de'yu'rong 嘟嘟的羽绒
'du'du'li 嘟嘟利
'du'fen 毒粉
'du'fen'e 毒粉蛾
'du'huo 妒火
'du'ji 毒击
'du'jian'qiao 独剑鞘
'du'jiao'chong 独角虫
'du'jiao'chong'de'tang'guo 独角虫的糖果
'du'jiao'xi'niu 独角犀牛
'du'jiao'xi'niu'de'tang'guo 独角犀牛的糖果
'du'jiao'xi'niu'de'ya 独角犀牛的牙
'du'ku'wa 毒骷蛙
'du'kui'lei 毒傀儡
'du'lan'xiong 堵拦熊
'du'liao 毒疗
'du'ling 毒菱
'du'man'di 毒满地
'du'qian'zhen 毒千针
'du'qiang'wei 毒蔷薇
'du'shi'kai'fa'ji'hua 都市开发计划
'du'shou 毒手
'du'si 毒丝
'du'suo'lian 毒锁链
'du'tai'jing'sui'kuai 毒太晶碎块
'du'wa'si 毒瓦斯
'du'wei 毒尾
'du'ye'chong'ji 毒液冲击
'du'ye'xian'jing 毒液陷阱
'du'zao'long 毒藻龙
'du'zao'long'jin'hua'shi 毒藻龙进化石
'du'zhen 毒针
'du'zhi'bao'shi 毒之宝石
'duan'ku'xiao'zi 短裤小子
'duan'wei 断尾
'duan'ya'zhi'jian 断崖之剑
'dui'jiao'jing 对焦镜
'dui'jue'yi'zi 对决椅子
'dui'jue'zhuo'jin 对决桌巾
'dui'shou'de'ji'bie 对手的级别
'dui'zhan'da'sai 对战大赛
'dui'zhan'guan'jun'jiang'zhang 对战冠军奖章
'dui'zhan'hui'yi'jiang'zhang 对战回忆奖章
'dui'zhan'ji'lu'qi 对战记录器
'dui'zhan'kou'dai 对战口袋
'dui'zhan'mi'ka'fei'guan 对战迷咖啡馆
'dui'zhan'shao'nv 对战少女
'dui'zhan'sou'xun'qi 对战搜寻器
'dui'zhan'ta'da'shi'jiang'zhang 对战塔大师奖章
'dui'zhan'te'qu 对战特区
'dun'jia 顿甲
'dun'jia'hua'shi 盾甲化石
'dun'jia'jian 盾甲茧
'dun'jia'long 盾甲龙
'dun'jia'long'de'zhua'zi 盾甲龙的爪子
'dun'pai'xing'tai 盾牌形态
'dun'shi 敦史
'dun'shou 蹲守
'dun'xia 蹲下
'dun'ye 敦也
'dun'zhi'wang 盾之王
'dun'zi 敦子
'duo'bian'shou 多边兽
'duo'bian'shou'de'sui'pian 多边兽的碎片
'duo'bian'shou'de'tang'guo 多边兽的糖果
'duo'bian'shou'yi'xing 多边兽乙型
'duo'chong'lin'pian 多重鳞片
'duo'chong'qiang'hua 多重强化
'duo'ci'ju'shi'shou 多刺菊石兽
'duo'duo'bing 多多冰
'duo'ge'zhu'ren'wu 多个主任务
'duo'jiao 跺脚
'duo'li'mi'ya 多丽米亚
'duo'long'ba'lu'tuo 多龙巴鲁托
'duo'long'mei'xi'ya 多龙梅西亚
'duo'long'mei'xi'ya'de'fen 多龙梅西亚的粉
'duo'long'qi 多龙奇
'duo'mi'ao 多米奥
'duo'ni 多尼
'duo'shu'xing 多属性
'duo'shu'xing'gong'ji 多属性攻击
'e'chou 恶臭
'e'gui'peng 厄诡椪
'e'meng 恶梦
'e'mo'zhi'wen 恶魔之吻
'e'shi'da'wang 恶食大王
'e'tai'jing'sui'kuai 恶太晶碎块
'e'yan'shi'ban 恶颜石板
'e'yi'zhui'ji 恶意追击
'e'zhi'bao'shi 恶之宝石
'e'zhi'bo'dong 恶之波动
'e'zhi'gua'zhou 恶之挂轴
'e'zhi'hua'shi 颚之化石
'e'zuo'ju'zhi'xin 恶作剧之心
'er'jie'xing'tai 二节形态
'er'lian'ji 二连击
'er'lian'pi 二连劈
'er'lian'ti 二连踢
'er'liu'can'guan 贰流餐馆
'fa'bi'an 法比安
'fa'dai'gong'yuan 发呆公园
'fa'di'an 法笛安
'fa'dian'chang'tong'xing'zheng 发电厂通行证
'fa'dian'chang'yao'shi 发电厂钥匙
'fa'dong'chao'ji'jin'hua 发动超级进化
'fa'guang 发光
'fa'hao'shi'ling 发号施令
'fa'jin 发劲
'fa'shao'you'ju'le'bu 发烧友俱乐部
'fan'chi'she 饭匙蛇
'fan'chi'she'de'ya 饭匙蛇的牙
'fan'chu 反刍
'fan'gun 翻滚
'fan'hui 返回
'fan'li'guo 番荔果
'fan'nao'zhong'zi 烦恼种子
'fan'qie'jiang 番茄酱
'fan'qie'pian 番茄片
'fan'she'bi 反射壁
'fan'zuo'cha'wan 凡作茶碗
'fan'zuo'de'yang'zi 凡作的样子
'fang'chen 防尘
'fang'chen'hu'mu'jing 防尘护目镜
'fang'dan 防弹
'fang'dian 放电
'fang'huang'hu'fu 防晃护符
'fang'hui'yao'bao 放回腰包
'fang'jian'yao'shi 房间钥匙
'fang'shou'hu'huan 防守互换
'fang'shou'ping'fen 防守平分
'fang'shou'ti'sheng 防守提升
'fang'shou'xia'jiang 防守下降
'fang'shou'yao'wan 防守药丸
'fang'si 方斯
'fang'xiang'bo'wu 芳香薄雾
'fang'xiang'jing 芳香精
'fang'xiang'mo'gu 芳香蘑菇
'fang'xiang'mu 芳香幕
'fang'xiang'zhi'liao 芳香治疗
'fang'xiao 仿效
'fang'yu 防御
'fang'yu'qiang'hua 防御强化
'fang'yu'xing'tai 防御形态
'fang'yu'zeng'qiang'ji 防御增强剂
'fang'yu'zhi'ling 防御指令
'fei'ba 菲巴
'fei'ben 菲苯
'fei'chu'de'nei'zai'wu 飞出的内在物
'fei'dan'zhen 飞弹针
'fei'hong'mai'dong 绯红脉动
'fei'luo'mei'lang 费洛美螂
'fei'lv'da'dao 翡绿大道
'fei'lv'qu 翡绿区
'fei'mao'tui 飞毛腿
'fei'ou'na 霏欧纳
'fei'shen'zhong'ya 飞身重压
'fei'shui'shou'li'jian 飞水手里剑
'fei'suo'qiu 飞梭球
'fei'ti 飞踢
'fei'tian'tang'lang 飞天螳螂
'fei'tian'tang'lang'de'tang'guo 飞天螳螂的糖果
'fei'tian'tang'lang'de'zhua'zi 飞天螳螂的爪子
'fei'tui'lang 飞腿郎
'fei'tui'lang'de'tang'guo 飞腿郎的糖果
'fei'xi'ti 飞膝踢
'fei'xiang 菲享
'fei'xiang 飞翔
'fei'xiang'cun'chu'die 飞翔存储碟
'fei'xing 飞行
'fei'xing'bao'shi 飞行宝石
'fei'xing'pi'fu 飞行皮肤
'fei'xing'tai'jing'sui'kuai 飞行太晶碎块
'fei'ye'feng'bao 飞叶风暴
'fei'ye'kuai'dao 飞叶快刀
'fei'yi'qiu 飞翼球
'fei'yu'qiu 飞羽球
'fei'yue 斐岳
'fei'yun'bing'qi'lin 飞云冰淇淋
'fen'bi'shi 粉笔石
'fen'cai'hu'mu 粉彩护幕
'fen'chen 粉尘
'fen'dan'tong'chu 分担痛楚
'fen'die'chong 粉蝶虫
'fen'die'chong'de'fen 粉蝶虫的粉
'fen'die'yong 粉蝶蛹
'fen'dou'li 奋斗砾
'fen'dou'sha 奋斗沙
'fen'dou'shi 奋斗石
'fen'dou'yan 奋斗岩
'fen'hong'hua'ban 粉红花瓣
'fen'hong'se'ka'na'li'wan'ou 粉红色卡娜莉玩偶
'fen'hong'shui'bei 粉红水杯
'fen'hong'shui'hu 粉红水壶
'fen'hong'tou'jin 粉红头巾
'fen'hong'yi'zi 粉红椅子
'fen'hong'zhuo'jin 粉红桌巾
'fen'nu 愤怒
'fen'nu'fen 愤怒粉
'fen'nu'jia'qiao 愤怒甲壳
'fen'nu'man'tou 愤怒馒头
'fen'nu'men'ya 愤怒门牙
'fen'nu'xue'wei 愤怒穴位
'fen'nu'zhi'quan 愤怒之拳
'fen'nu'zhi'zheng 愤怒之证
'fen'nu'zhuang'tai 愤怒状态
'fen'qiu'guo 粉球果
'fen'se'guang'chang 粉色广场
'fen'xi 分析
'fen'xiang'xiang 粉香香
'fen'yan'gong 焚焰蚣
'feng'hua 风花
'feng'kuang'fu'te 疯狂伏特
'feng'kuang'gun'ya 疯狂滚压
'feng'kuang'zhi'wu 疯狂植物
'feng'li'fa'dian 风力发电
'feng'li'pian 凤梨片
'feng'ling'ling 风铃铃
'feng'mi'long 丰蜜龙
'feng'nv'wang 蜂女王
'feng'rui 锋锐
'feng'su'gou 风速狗
'feng'wang 凤王
'feng'wang'de'dian'xin 凤王的点心
'feng'wei 枫薇
'feng'yao'jing 风妖精
'feng'yin 封印
'feng'ying 缝影
'feng'yuan'di'qu 丰缘地区
'feng'yuan'guan'jun'jiang'zhang 丰缘冠军奖章
'feng'yuan'mao'zi 丰缘帽子
'feng'zhi'da'dao 风之大道
'fo'gan'guo 佛柑果
'fo'lie'tuo'si 佛烈托斯
'fu'chou 复仇
'fu'dan'peng'peng 孵蛋碰碰
'fu'dian 负电
'fu'dian'pai'pai 负电拍拍
'fu'dian'pai'pai'de'mao 负电拍拍的毛
'fu'gu 腹鼓
'fu'he'jin'shu 复合金属
'fu'huo'cao 复活草
'fu'jia'shao'ye 富家少爷
'fu'la'da'li'ka'fei'dian 弗拉达利咖啡店
'fu'la'da'li'yan'jiu'suo 弗拉达利研究所
'fu'la'da'li'yan'jiu'suo'ru'kou 弗拉达利研究所入口
'fu'lei'de'li'ke 弗雷德里克
'fu'lu'guo 福禄果
'fu'luo'yi 弗洛伊
'fu'qian'you 浮潜鼬
'fu'ren'wu 副任务
'fu'sheng'qi'dao 复生祈祷
'fu'shi 腐蚀
'fu'shi'qi'ti 腐蚀气体
'fu'shui'mo'shi 浮水模式
'fu'te'gong'ji 伏特攻击
'fu'te'ti'huan 伏特替换
'fu'wu'sheng 服务生
'fu'xiao'zhi'yi 拂晓之翼
'fu'xiao'zhi'zheng 拂晓之证
'fu'xiu'de'dun 腐朽的盾
'fu'xiu'de'jian 腐朽的剑
'fu'ya'long 斧牙龙
'fu'yan 复眼
'fu'yan'xian'bei 釜炎仙贝
'fu'zao 浮躁
'fu'zhi 复制
'fu'zhu'chi'lun 辅助齿轮
'fu'zhu'li'liang 辅助力量
'fu'zhuo'zhen 附着针
'ga'la'ga'la 嘎啦嘎啦
'ga'li'fen 咖喱粉
'ga'li'zhi'zheng 咖喱之证
'gai'gai'chong 盖盖虫
'gai'nuo'sai'ke'te 盖诺赛克特
'gai'ou'ka 盖欧卡
'gai'ou'ka'de'dian'xin 盖欧卡的点心
'gai'ou'ka'de'yang'zi 盖欧卡的样子
'gai'yi 盖伊
'gan'jin 干劲
'gan'lan'you 橄榄油
'gan'lu'zhi'mi 甘露之蜜
'gan'xie'you'jian 感谢邮件
'gan'zao'pi'fu 干燥皮肤
'gan'zao'zhi'zheng 干燥之证
'gang'kai'ya 钢铠鸦
'gang'neng'li'zhe 钢能力者
'gang'pao'bi'xia 钢炮臂虾
'gang'quan'shuang'ji 钢拳双击
'gang'shi 刚史
'gang'tai'jing'sui'kuai 钢太晶碎块
'gang'tie 冈铁
'gang'tie'cun'chu'die 钢铁存储碟
'gang'tie'shi'ban 钢铁石板
'gang'yi 钢翼
'gang'zhi'bao'shi 钢之宝石
'gang'zhi'yi'zhi 钢之意志
'gao'ao'zhi'ji 高傲雉鸡
'gao'dang'huo'de'yang'zi 高档货的样子
'gao'diao'de'yang'zi 高调的样子
'gao'gui'jiang'zhang 高贵奖章
'gao'ji'qiu 高级球
'gao'ke'ji'guang'pao 高科技光炮
'gao'shou'dui'zhan'jiang'zhang 高手对战奖章
'gao'shou'dui'zhan'shu'jiang'zhang 高手对战树奖章
'gao'su'xing'xing 高速星星
'gao'su'xuan'zhuan 高速旋转
'gao'su'yi'dong 高速移动
'gao'wen'zhong'ya 高温重压
'gao'ya'hua'wen 高雅花纹
'ge'da'ya 哥达鸭
'ge'de'bao'bao 哥德宝宝
'ge'de'bao'bao'de'jie'mao 哥德宝宝的睫毛
'ge'de'xiao'jie 哥德小姐
'ge'de'xiao'tong 哥德小童
'ge'dou 格斗
'ge'dou'bao'chong 格斗暴冲
'ge'dou'bao'shi 格斗宝石
'ge'dou'tai'jing'sui'kuai 格斗太晶碎块
'ge'la'xi'di'ya'hua 葛拉西蒂亚花
'ge'sheng'xing'tai 歌声形态
'ge'shi'ge'yang'de'qiu 各式各样的球
'ge'wu'ji'zao'xing 歌舞伎造型
'ge'yin 隔音
'gei'da'wu'de'xin 给大吾的信
'gen'feng 跟风
'gen'yuan'bo'dong 根源波动
'gen'zhuang'hua'shi 根状化石
'geng'di 耕地
'geng'gui 耿鬼
'geng'gui'jin'hua'shi 耿鬼进化石
'geng'yi 更依
'gong'fu'you 功夫鼬
'gong'fu'you'de'zhua'zi 功夫鼬的爪子
'gong'ji 攻击
'gong'ji'xing'tai 攻击形态
'gong'ji'zeng'qiang'ji 攻击增强剂
'gong'ji'zhi'ling 攻击指令
'gong'ren 工人
'gong'sheng 共生
'gong'shou'zhuan'huan 攻守转换
'gong'ting'lang'jie 宫廷廊街
'gong'xi 共熙
'gong'yi'tao'zu 工艺套组
'gong'yuan'qiu 公园球
'gou'hun'yan 勾魂眼
'gou'hun'yan'de'bao'shi 勾魂眼的宝石
'gou'hun'yan'jin'hua'shi 勾魂眼进化石
'gou'pa'lu'weng 勾帕路翁
'gou'pa'lu'weng'de'dian'xin 勾帕路翁的点心
'gou'zai'bao 狗仔包
'gou'zai'bao'de'mao 狗仔包的毛
'gou'zan'gou 够赞狗
'gu'bang 骨棒
'gu'bang'luan'da 骨棒乱打
'gu'dai'hu'fu 古代护符
'gu'dai'huo'xing 古代活性
'gu'dai'jin'bi 古代金币
'gu'dai'shi'xiang 古代石像
'gu'dai'shou'zhuo 古代手镯
'gu'dai'tong'bi 古代铜币
'gu'dai'wang'guan 古代王冠
'gu'dai'yin'bi 古代银币
'gu'dai'zhi'hu 古代之壶
'gu'ding'lu 古鼎鹿
'gu'du'li 古杜莉
'gu'gu 咕咕
'gu'gu'de'yu'mao 咕咕的羽毛
'gu'gu'ge 咕咕鸽
'gu'ji 鼓击
'gu'jian'bao 古剑豹
'gu'jian'wo 古简蜗
'gu'kong'ji'yu 古空棘鱼
'gu'la'duo 固拉多
'gu'la'duo'de'dian'xin 固拉多的点心
'gu'la'duo'de'yang'zi 固拉多的样子
'gu'lao'ri'ji 古老日记
'gu'lao'zhi'ge 古老之歌
'gu'le'dun 故勒顿
'gu'le'dun'de'qiu 故勒顿的球
'gu'li 古历
'gu'li'zi 古丽兹
'gu'luo'li 古洛莉
'gu'niu'niu 咕妞妞
'gu'tou'hui'li'biao 骨头回力镖
'gu'wen'ju'sheng'e 骨纹巨声鳄
'gu'you'tuan 菇诱团
'gu'you'tuan 谷诱团
'gu'yu'yu 古玉鱼
'gu'yue'niao 古月鸟
'gu'yue'niao'de'yu'rong 古月鸟的羽绒
'gu'zhi 固执
'gu'zhi'bo'he 固执薄荷
'gua'gua'pao'wa 呱呱泡蛙
'gua'tou'wa 呱头蛙
'gua'xi'guo 瓜西果
'guai'e'long 怪颚龙
'guai'li 怪力
'guai'li'qian 怪力钳
'guai'shou'kuang 怪兽狂
'guai'shou'yi'zi 怪兽椅子
'guai'shou'zhuo'jin 怪兽桌巾
'guai'yao 怪药
'guai'yi'dian'bo 怪异电波
'guan'bi 关闭
'guan'dou'di'qu 关都地区
'guan'dou'shi'ban 关都石板
'guan'jun 冠军
'guan'jun'jiang'zhang 冠军奖章
'guang'ci 光次
'guang'dian'san'xi 光电伞蜥
'guang'dou'zai 光蚪仔
'guang'dou'zai'de'nian'ye 光蚪仔的黏液
'guang'fan 光范
'guang'fen 光粉
'guang'he'zuo'yong 光合作用
'guang'hua'ni'qiu 光滑泥球
'guang'hui'hua'ban 光辉花瓣
'guang'hui'shi 光辉石
'guang'jiao'jing 广角镜
'guang'jie'ti'shi 逛街提示
'guang'ming'shi 光明石
'guang'qiang 光墙
'guang'tai 光苔
'guang'yu'fang'shou 广域防守
'guang'yu'po'huai 广域破坏
'guang'yu'zhan'li 广域战力
'guang'zhi'nian'tu 光之黏土
'guang'zhi'shi 光之石
'guang'zi'pen'yong 光子喷涌
'gui'fu 瑰芙
'gui'fu'zao'xing 贵妇造型
'gui'ji 诡计
'gui'jiao 圭焦
'gui'jiao'jiao 龟脚脚
'gui'jiao'lu 诡角鹿
'gui'ling'hua'jing 归零化境
'gui'si 鬼斯
'gui'si'de'qi'ti 鬼斯的气体
'gui'si'de'tang'guo 鬼斯的糖果
'gui'si'tong 鬼斯通
'gui'sui'yi'zi 鬼祟椅子
'gui'sui'zhuo'jin 鬼祟桌巾
'gui'tian'zhi'yi 归天之翼
'gui'wu'zhi'guang 归无之光
'gui'yi'zhou'yu 诡异咒语
'gui'you 圭佑
'gui'ze'shu 规则书
'gui'zhong'gu'tou 贵重骨头
'gui'zhong'qiu 贵重球
'gui'zu'ju'kai 龟足巨铠
'gui'zu'ju'kai'jin'hua'shi 龟足巨铠进化石
'gun'dong 滚动
'gun'gun'bian'fu 滚滚蝙蝠
'gun'gun'dou 滚滚豆
'guo'dong'yuan 过动猿
'guo'jia'guan'jun'jiang'zhang 国家冠军奖章
'guo'jia'jiang'zhang 国家奖章
'guo'lv 过滤
'guo'mi'chong 裹蜜虫
'guo'ran'weng 果然翁
'guo're 过热
'guo'wang'zao'xing 国王造型
'guo'zao'niao 聒噪鸟
'guo'zhi'niu'nai 果汁牛奶
'ha'ke'long 哈克龙
'ha'li'li 哈力栗
'ha'mi'guo 哈密果
'ha'qian 哈欠
'ha'yue'ke 哈约克
'hai'bao'qiu 海豹球
'hai'bian'de'bo'li 海边的玻璃
'hai'chao'xun'xiang 海潮薰香
'hai'ci'long 海刺龙
'hai'dai'de'qian'bao 海岱的钱包
'hai'di'shu 海地鼠
'hai'di'shu'de'sha 海地鼠的沙
'hai'mo'shi 海魔狮
'hai'sheng'ling'dang 海声铃铛
'hai'tu'shou 海兔兽
'hai'tun'xia 海豚侠
'hai'xing'xing 海星星
'hai'xing'xing'de'tang'guo 海星星的糖果
'hai'xiu 害羞
'hai'yang'zhuang 海洋装
'han'bao'pai 汉堡排
'han'shui'jiang'zhang 酣睡奖章
'han'xiu'bao 含羞苞
'hao'da'jing 浩大鲸
'hao'diao'gan 好钓竿
'hao'hua'gao'gui'jiang'zhang 豪华高贵奖章
'hao'hua'jiang'zhang 豪华奖章
'hao'hua'qiu 豪华球
'hao'huai'xing 好坏星
'hao'huai'xing'de'ci 好坏星的刺
'hao'la'you 好啦鱿
'hao'la'you'de'mo'zhi 好啦鱿的墨汁
'hao'li 豪力
'hao'ling 号令
'hao'shang'yao 好伤药
'hao'sheng 好胜
'hao'sheng'mao'xie 好胜毛蟹
'hao'sheng'xie 好胜蟹
'hao'sheng'xie'de'ke 好胜蟹的壳
