'a'gan'hui 阿甘回
'duan'ze 断泽
'duan'zhao'heng'ji 短爪横击
'duan'zhi 断肢
'duan'zhi'bao'gu 断肢刨骨
'duan'zhu'xie'jian 断诸邪见
'duan'zu'tie'chi 断足铁齿
'duan'zui 断罪
'duan'zui'wu'zhe 断罪舞者
'dui'jiu'dang'ge 对酒当歌
'dui'xue'qiu 堆雪球
'dui'yin 对饮
'dui'yin'xiao'zhuo 对饮小酌
'dui'zhuo 对酌
'dun'bi 盾壁
'dun'bi'fan'tan 盾壁反弹
'dun'bi'fang'yu 盾壁防御
'dun'bi'guan'ti 盾壁贯体
'dun'chong 盾冲
'dun'chuan'shang'hai 盾穿伤害
'dun'dang 盾挡
'dun'dao 盾刀
'dun'di 遁地
'dun'di'qiang'ci 遁地枪刺
'dun'fan 盾反
'dun'fan'zhuang'tai 盾反状态
'dun'fei 盾飞
'dun'hu 盾护
'dun'hui 盾回
'dun'ji 盾击
'dun'ji 钝击
'dun'ji'shen'bing 盾击神兵
'dun'ka'shun'yi 顿卡瞬移
'dun'li 盾立
'dun'meng 盾猛
'dun'meng'ji'tui 盾猛击退
'dun'pai'fan'zhen 盾牌反震
'dun'pai'fang'yu 盾牌防御
'dun'pai'meng'ji 盾牌猛击
'dun'pao 盾抛
'dun'qiang 盾墙
'dun'qiang'ming'ling 盾墙命令
'dun'su'rou 炖酥肉
'dun'wei 盾威
'dun'wu 盾舞
'dun'wu 顿悟
'dun'wu'qiang'hua 盾舞强化
'dun'ya 盾压
'dun'ya'shen'bing 盾压神兵
'dun'yi 盾毅
'dun'ying 遁影
'duo'bi 躲避
'duo'bu 踱步
'duo'cang 躲藏
'duo'ceng'heng'zhen 多层横阵
'duo'hun 夺魂
'duo'hun'ci 夺魂刺
'duo'hun'gu 夺魂蛊
'duo'hun'jian 夺魂箭
'duo'hun'she'po 夺魂摄魄
'duo'hun'shu 夺魂术
'duo'hun'zhao 夺魂爪
'duo'jiao 跺脚
'duo'jiao'rou'zhao 剁椒肉爪
'duo'luo'ye'zhi 多罗叶指
'duo'luo'ye'zhi'yu'jing 多罗叶指预警
'duo'ming 夺命
'duo'ming'bi'bo'jian 夺命碧波剑
'duo'ming'bi'bo'jian'ji 夺命碧波剑激
'duo'ming'bi'bo'jian'ping 夺命碧波剑平
'duo'ming'bi'bo'ju'lang 夺命碧波巨浪
'duo'ming'biao 夺命镖
'duo'ming'dao 夺命刀
'duo'ming'fei'shi 夺命飞石
'duo'ming'gu 夺命蛊
'duo'ming'hai'cha 夺命海叉
'duo'ming'jian 夺命箭
'duo'ming'ju'lang 夺命巨浪
'duo'ming'lian'huan'ci 夺命连环刺
'duo'ming'suo'chuan'tou 夺命锁穿透
'duo'ming'tu 夺命突
'duo'ming'yi'ji 夺命一击
'duo'ming'yin'hui 夺命银辉
'duo'po 夺魄
'duo'po'da'ji 夺魄打击
'duo'po'jian 夺魄箭
'duo'po'jian'fei'tian 夺魄箭飞天
'duo'po'jian'shen'bing 夺魄箭神兵
'duo'po'xuan'feng 夺魄旋风
'duo'po'zhao 夺魄爪
'duo'po'zhi'wei 夺魄之威
'duo'shan 躲闪
'duo'shan'pi 剁山劈
'duo'tian 堕天
'duo'tian 夺天
'duo'tian'chen'yuan 堕天沉渊
'duo'tian'chen'yuan'zhui 堕天沉渊坠
'duo'tian'qing'gu 堕天情蛊
'duo'tian'tui 堕天腿
'duo'tian'zhen'hun 堕天镇魂
'duo'xin'shou'zhai'xin 夺心手摘心
'duo'yun 堕云
'e'ba 鳄霸
'e'chen 遏尘
'e'de'wo'dou'zhan'qi'lai'le 饿得我都站起来了
'e'du 厄毒
'e'du'bao'fa 厄毒爆发
'e'du'bao'fa'du'zhi'gong 厄毒爆发毒指功
'e'du'bao'fa'duo'hun 厄毒爆发夺魂
'e'du'bao'fa'e'du'zhang'fa 厄毒爆发厄毒掌法
'e'du'li'ren 恶毒利刃
'e'du'ning'shi 恶毒凝视
'e'du'pen'yong 厄毒喷涌
'e'du'zhang'fa 厄毒掌法
'e'du'zhang'fa'bao'fa 厄毒掌法爆发
'e'du'zhang'fa'chong'ci 厄毒掌法冲刺
'e'du'zhang'fa'suo'ming 厄毒掌法索命
'e'du'zhi'yu 厄毒之雨
'e'e 饿饿
'e'gou'lan'lu 恶狗拦路
'e'gou'lan'lu'feng 恶狗拦路封
'e'gou'shi'luan 饿狗食卵
'e'gu'du'wu 厄骨毒雾
'e'gui'dan 饿鬼啖
'e'gui'ji 饿鬼饥
'e'gui'shi'xin 恶鬼噬心
'e'han'fu'ji 恶汉斧击
'e'hou 遏喉
'e'hu'pao'xiao 饿虎咆哮
'e'hui'man'lu 恶秽满路
'e'ji 恶击
'e'liu 遏流
'e'luan'shi 鹅卵石
'e'quan'lie'xi 恶犬猎袭
'e'quan'pao'xiao 恶犬咆哮
'e'xing 恶行
'e'yi 恶意
'e'yi'ning'ju 恶意凝聚
'e'yu'de'pao'pao 鳄鱼的泡泡
'e'yu'de'yan'lei 鳄鱼的眼泪
'e'yu'pao'pao 鳄鱼泡泡
'e'yu'zhong'shang 恶语中伤
'e'yun'shi 遏云势
'e'zui 恶罪
'en'ci 恩赐
'er'chong'lue'dong 二重略懂
'er'chui 二锤
'er'duan'lian'she 二段连射
'er'duan'shan 二段闪
'er'hai'fei'zhao 洱海飞爪
'er'lang'chui'shan 二郎锤山
'er'sheng 二圣
'er'shi'si'qiao'ming'yue'ye 二十四桥明月夜
'er'tian'yi'liu 二天一流
'er'ye'yi'yuan 二业依缘
'er'yuan'hua'yue 二元化月
'er'yuan'xuan'wo 二元旋涡
'er'yuan'zhuan'hua 二元转化
'fa'bao'shen'ji'lei 法宝神机雷
'fa'bao'xiang'er 法宝香饵
'fa'bao'yu'cha 法宝鱼叉
'fa'bao'yu'wang 法宝渔网
'fa'bao'yu'ying 法宝鱼鹰
'fa'dong'zhai'zhu'neng'li 发动寨主能力
'fa'jiang 发奖
'fa'jiao 罚绞
'fa'luan'zui'ying 伐乱罪影
'fa'mei'de'fan'cai 发霉的饭菜
'fa'mo'chan'zui 伐魔忏罪
'fa'mo'chan'zui'guan'ti 伐魔忏罪贯体
'fa'mu'fu 伐木斧
'fa'ni 伐逆
'fa'ni'cheng'shuang 伐逆成双
'fa'she 发射
'fa'she'nu'jian 发射弩箭
'fa'shen 法身
'fa'tian'xiang'di 法天象地
'fa'wang'shen 法王身
'fa'wei 伐违
'fa'wei'tian'ta 伐违天塌
'fa'wei'yu 伐违御
'fa'xiang'xiang'mo'chan 法相降魔铲
'fa'xiang'zhen'mo 法相镇魔
'fa'ya'de'tu'dou 发芽的土豆
'fa'ye'zhao'hui 法业朝晖
'fa'yin 法印
'fa'yin 罚印
'fa'zui 罚罪
'fa'zui'jian 罚罪箭
'fa'zui'lie'yan 罚罪烈焰
'fa'zui'sui'jing 罚罪碎镜
'fa'zui'xue'pu 罚罪血瀑
'fa'zui'zhe 伐罪者
'fan'ben'gui'yuan 返本归元
'fan'bi'jing'hun 返闭惊魂
'fan'bu 反哺
'fan'chong 反冲
'fan'chuang 翻窗
'fan'fei 翻飞
'fan'fu 翻覆
'fan'fu'chui'da 反复捶打
'fan'ge'di'chao'tian 翻个底朝天
'fan'ge'jiao'zhao'di 翻个脚着地
'fan'ge'shen 翻个身
'fan'gen'dou 翻跟斗
'fan'gu 反骨
'fan'gun 翻滚
'fan'hua 凡华
'fan'hua'jian'yi 繁花剑意
'fan'ji 反击
'fan'ji'chen'mo 反击沉默
'fan'ji'xuan'yun 反击眩晕
'fan'jiang'dao'hai 翻江倒海
'fan'jie'gou'tun 反截狗臀
'fan'ke'wei'zhu 反客为主
'fan'kun 犯困
'fan'pao'huo'ren 饭泡活人
'fan'qu 反曲
'fan'shen 翻身
'fan'shen'shang'ma 翻身上马
'fan'sheng 返生
'fan'shi 反噬
'fan'shi'bai'zu 反噬百足
'fan'shi'chan'xiao 反噬蟾啸
'fan'shi'chan'xiao'duo'ming 反噬蟾啸夺命
'fan'shi'she'ying 反噬蛇影
'fan'shi'she'ying'duo'ming 反噬蛇影夺命
'fan'shi'shi'ling 反噬释灵
'fan'shi'xie'xin 反噬蝎心
'fan'shou 返首
'fan'shou'dao 返首刀
'fan'su 返苏
'fan'tan 反弹
'fan'tan'pi'pa 反弹琵琶
'fan'tian'fu'di 翻天覆地
'fan'tiao 犯调
'fan'tong'mi'zhi'jiao 范统秘制饺
'fan'tui 反推
'fan'wei'gong'ji 范围攻击
'fan'xing'luo 繁星落
'fan'xing'ying'xue'cheng 繁星映雪承
'fan'xing'ying'xue'di'zhang 繁星映雪抵掌
'fan'xing'ying'xue'he 繁星映雪合
'fan'xing'ying'xue'ming'jian 繁星映雪鸣剑
'fan'xing'ying'xue'qi 繁星映雪起
'fan'xing'ying'xue'zhuan 繁星映雪转
'fan'yi'xia 翻一下
'fan'yin'ji'jie 梵音急节
'fan'yin'ji'jie 繁音急节
'fan'yin'jie 梵音劫
'fan'yue 反岳
'fan'yun'fu'yu 翻云覆雨
'fan'zhao 翻找
'fan'zhao'kou'dai 翻找口袋
'fan'zhen 返震
'fan'zi 繁姿
'fan'zi'guan'ti 繁姿贯体
'fan'zuo 反佐
'fang'bu'sheng'fang 防不胜防
'fang'da'rao 防打扰
'fang'ge 放歌
'fang'gui 放归
'fang'hao 放皓
'fang'hu'zhao 防护罩
'fang'hua'ran'jin 芳华燃尽
'fang'jian 放箭
'fang'kong'zi'ji 放空自己
'fang'lu 放鹿
'fang'nu'jian 放弩箭
'fang'pi 放屁
'fang'qi 放弃
'fang'qi'guan'qia 放弃关卡
'fang'qi'quan'xian 放弃权限
'fang'qi'tiao'zhan 放弃挑战
'fang'shen'wu'yi 防身武艺
'fang'shi 方士
'fang'shi 芳时
'fang'shou 防守
'fang'si'yao'bai 放肆摇摆
'fang'ti'ju 方体锯
'fang'ti'zhuang'ji 方体撞击
'fang'xia 放下
'fang'xia'gou'zhao 放下钩爪
'fang'xia'hei'xiu 放下黑咻
'fang'xia'nuan'lu 放下暖炉
'fang'xia'ran'shi 放下燃石
'fang'xia'shi'tou 放下石头
'fang'xia'zha'dan 放下炸弹
'fang'xia'zhe'ke'gua 放下这颗瓜
'fang'yu 防御
'fang'yu'mo'shi 防御模式
'fang'yu'qian'ding'bo'gui'lan'jian'she 方宇谦定波归岚溅射
'fang'yu'xing 防御型
'fang'yu'xiu'fu 防御修复
'fang'yu'zhe 防御者
'fang'yu'zi'tai 防御姿态
'fang'zhi 放置
'fang'zhi'du'sha 放置毒煞
'fang'zhi'han'tie 放置寒铁
'fang'zhi'xian'jing 放置陷阱
'fang'zhu 放逐
'fang'zi'chang'yin 芳姿畅音
'fei'a 飞啊
'fei'bai 飞白
'fei'bai'kuai'xue'shi'qing 飞白快雪时晴
'fei'bai'lan'cui'yu'zhe 飞白兰摧玉折
'fei'bai'shang'yang'zhi 飞白商阳指
'fei'bai'zhong'lin'yu'xiu 飞白钟林毓秀
'fei'biao 飞镖
'fei'cui'shao'mai 翡翠烧卖
'fei'da'gu'dao'qi'zi'dan'er 费大谷刀气子弹二
'fei'dao 飞刀
'fei'dao'tou'zhi 飞刀投掷
'fei'di'ying'feng'jue 飞镝应锋诀
'fei'dun 飞盾
'fei'dun 飞遁
'fei'e'zhao'huan 飞蛾召唤
'fei'fan 非梵
'fei'fan 飞帆
'fei'fan'guan'ti 非梵贯体
'fei'fu 飞斧
'fei'ge'chuan'shu 飞鸽传书
'fei'guai 飞拐
'fei'guang'liu'zhuan 飞光流转
'fei'hong 飞鸿
'fei'hong'po'ye 飞鸿破野
'fei'hong'shen'fa 飞虹身法
'fei'hong'wu'ji 飞鸿无迹
'fei'hong'zhen'hong'jin 飞虹针虹尽
'fei'hong'zhen'ji'ye 飞虹针疾叶
'fei'hong'zhen'luo'hua 飞虹针落华
'fei'hong'zhen'ni'ci 飞虹针逆刺
'fei'hong'zhui'ming'jian 绯红追命箭
'fei'hua 飞花
'fei'hua'zhi'shu 飞花之术
'fei'huan'liu'xing 飞环流星
'fei'jian 飞剑
'fei'jian 飞箭
'fei'jian'jian'qi 飞剑剑气
'fei'jian'jue'yi'feng 飞剑绝意锋
'fei'jian'jue'yi'ren 飞剑绝意韧
'fei'jian'jue'yi'yu 飞剑绝意愈
'fei'jiang 飞将
'fei'jin'shen'yu 绯烬神谕
'fei'jing 飞景
'fei'jing 飞镜
'fei'lai'wen'zong 飞来闻踪
'fei'lang'bao'dao 飞狼宝刀
'fei'lian 飞镰
'fei'long 飞龙
'fei'long'tan'yun'shou 飞龙探云手
'fei'long'yin'xi 飞龙引嬉
'fei'long'yin'xi 飞龙引戏
'fei'long'zai'tian 飞龙在天
'fei'luan'dong'yu 飞鸾动羽
'fei'lue'bu'shi 飞掠捕食
'fei'lun'dao'ren 飞轮刀刃
'fei'lun'hui'ren 飞轮回刃
'fei'mei 飞袂
'fei'ming'di 飞鸣镝
'fei'ming'di'yin'bao 飞鸣镝引爆
'fei'ni'de'tai'hou'bing 肥腻的太后饼
'fei'ni'xue'chang 肥腻血肠
'fei'ping 飞萍
'fei'pu 飞扑
'fei'pu 飞瀑
'fei'pu'nu'chao 飞瀑怒潮
'fei'qi'cong'qi'ta'ji'neng'kai'shi 废弃从其他技能开始
'fei'qi'ji'neng 废弃技能
'fei'qi'luo'xia 飞起落下
'fei'qing 飞倾
'fei'qing'lie'que 飞倾列缺
'fei'qing'lie'que'bao 飞倾列缺爆
'fei'qiong 飞琼
'fei'qu'zhu'jing'hong 飞去逐惊鸿
'fei'ren 飞刃
'fei'ren'an'xi 飞刃暗袭
'fei'ren'bao'yu 飞刃暴雨
'fei'ren'hui'zhuan 飞刃回转
'fei'ren'po'feng 飞刃破风
'fei'ren'yu 飞刃雨
'fei'sha'fu 飞砂斧
'fei'sha'pu 飞沙瀑
'fei'sha'shi'yun 飞沙石陨
'fei'sha'zou'shi 飞沙走石
'fei'she'du'jian 飞蛇毒溅
'fei'she'gu 飞蛇蛊
'fei'shi'huo'yan 飞石火焰
'fei'ta 飞踏
'fei'ti 飞踢
'fei'tian 非天
'fei'tian 飞天
'fei'tian'bian'di 飞天鞭地
'fei'tian'ji'jian 非天祭剑
'fei'tian'ji'jian'shi 非天祭剑释
'fei'tiao 飞挑
'fei'tui 飞腿
'fei'wa'ba'mu 蜚瓦拔木
'fei'wei 霏微
'fei'wen 飞吻
'fei'wu 飞舞
'fei'xing 飞星
'fei'xing'bang'yue 飞星傍月
'fei'xing'dun'ying 飞星遁影
'fei'xing'lie'kong 飞星裂空
'fei'xing'wu'ying 飞星无影
'fei'xing'xing 飞行型
'fei'xuan 非玄
'fei'xuan 飞旋
'fei'xue 非雪
'fei'xue'ni'mai 沸血逆脉
'fei'xue'zhen 沸血针
'fei'yan'dao 飞燕刀
'fei'yan'heng'kong 飞燕横空
'fei'yan'ji 飞燕击
'fei'yan'ji'er 飞燕击二
'fei'yan'ji'san 飞燕击三
'fei'yan'ji'yi 飞燕击一
'fei'yan'jian'jing'long 飞燕剑惊龙
'fei'yang 飞扬
'fei'yang'nei 飞扬内
'fei'yang'tui 飞羊腿
'fei'ye'man'jin 飞叶满襟
'fei'ye'man'jin'jie'cao 飞叶满襟结草
'fei'yin'fei'yang 非阴非阳
'fei'yin'ji'yang 非阴即阳
'fei'yu'biao 飞雨镖
'fei'yu'wan 飞鱼丸
'fei'yu'yin'hua 飞雨银花
'fei'yuan'fan'yue 飞鸢泛月
'fei'yuan'fan'yue'zhui 飞鸢泛月坠
'fei'yuan'shi'hun 飞鸢噬魂
'fei'yuan'tui 飞猿腿
'fei'yuan'zhu'yue 飞鸢逐月
'fei'yun 飞云
'fei'yun'hui'zhuan'dao 飞云回转刀
'fei'yun'hui'zhuan'dao'chuan'ci 飞云回转刀穿刺
'fei'zhao 飞爪
'fei'zhen 飞针
'fei'zhen'luo'jin'rui 飞针落金蕊
'fei'zhen'yin'xian 飞针引线
'fei'zhi'dou'shuang 飞指抖霜
'fei'zhu 飞竹
'fei'zhui'ding'hai 飞锥定海
'fen'biao 纷飙
'fen'chi 粉翅
'fen'chuan'shou 分川手
'fen'chuan'shou'pai'lang 分川手排浪
'fen'fei 纷飞
'fen'gu 分骨
'fen'gu 焚骨
'fen'gu'cuo'jin 分骨错筋
'fen'gu'lie 焚骨裂
'fen'hen 愤恨
'fen'jiang 分疆
'fen'jin 分筋
'fen'lan 分澜
'fen'li'yi'ji 奋力一击
'fen'lie'jian 分裂箭
'fen'lin'zhao 分林爪
'fen'nu 愤怒
'fen'nu'cai'ta 愤怒踩踏
'fen'nu'chong'ji 愤怒冲击
'fen'nu'ming'wang'chu 忿怒明王杵
'fen'nu'xian'di 愤怒掀地
'fen'nu'yi'ji 愤怒一击
'fen'nu'yi'quan 愤怒一拳
'fen'ru 焚如
'fen'san'de'li'liang 分散的力量
'fen'san'de'li'liang'chuan'ci 分散的力量穿刺
'fen'sha'zhan 分沙斩
'fen'sha'zhan 分砂斩
'fen'shan'jin 分山劲
'fen'shen 分身
'fen'shen'hua'nian 分神化念
'fen'shen'hua'nian 分身化念
'fen'shen'zhan 分身斩
'fen'sheng 焚生
'fen'shui'dao'fa 分水刀法
'fen'shui'ge 分水割
'fen'shui'zhu'jing 分水逐旌
'fen'tian'gu 焚天蛊
'fen'tian'zhao 分天爪
'fen'tian'zhi'yan 焚天之焰
'fen'tuan'bao'zha 粉团爆炸
'fen'xue 焚血
'fen'ye 分野
'fen'ye'hong 焚野轰
'fen'yi 奋翼
'fen'ying 分影
'fen'ying 焚影
'fen'ying'sheng'jue 焚影圣诀
'fen'yu 焚玉
'fen'yu 芬萸
'fen'yun 纷纭
'fen'yun'guan'ti 纷纭贯体
'fen'zheng'chang 粉蒸肠
'feng'bai'chuan 风百川
'feng'bao 风暴
'feng'cha'yun'jing 峰插云景
'feng'che 风车
'feng'chen'dao 封尘刀
'feng'chen'tan 风尘叹
'feng'cheng 封城
'feng'chi 风驰
'feng'chu'quan'liu'jian 蜂出泉流剑
'feng'chui'he 风吹荷
'feng'ci'jian'yu 蜂刺箭雨
'feng'ci'nu'jian 蜂刺弩箭
'feng'de'jiao'hua 风的狡猾
'feng'de'pao'xiao 风的咆哮
'feng'dong 风动
'feng'du'lang'tou'jian 风毒狼头箭
'feng'du'zhao'yang 凤独朝阳
'feng'dun 风遁
'feng'dun'ding'ying 风遁定影
'feng'fu 风府
'feng'ge 凤歌
'feng'gu 风骨
'feng'he 烽河
'feng'he 风荷
'feng'he'ye'qu'gui'xiang 风荷野趣归乡
'feng'hou 封侯
'feng'hou 封喉
'feng'hou'jian'qi 封喉箭气
'feng'hu 风虎
'feng'hu'zhi'yao 风狐之咬
'feng'hua'gu'ren'wu 枫华谷任务
'feng'huai 风徊
'feng'huai'xu'zhuan 风徊絮转
'feng'huang'fu'zhou 凤凰符咒
'feng'huang'gu 凤凰蛊
'feng'huang'pu'gong 凤凰普攻
'feng'huang'zhan'chi'zhou'shen'li 凤凰展翅周身力
'feng'hui'lu'zhuan 峰回路转
'feng'huo 烽火
'feng'huo'ban 风火板
'feng'huo'lun 风火轮
'feng'jin 风尽
'feng'jin'fu'sheng 风尽浮生
'feng'jin'fu'sheng'jin 风尽浮生尽
'feng'jing'bi'mai 封经闭脉
'feng'ju 峰聚
'feng'juan'can'xue 风卷残雪
'feng'juan'can'yun 风卷残云
'feng'juan'qian'ren 风卷千刃
'feng'juan'sha'xi 风卷沙袭
'feng'kuang 疯狂
'feng'kuang'bi'fa 疯狂笔法
'feng'kuang'cai'ta 疯狂踩踏
'feng'kuang'che'lun 疯狂车轮
'feng'kuang'da'gun 疯狂打滚
'feng'kuang'ji'zou 疯狂疾走
'feng'kuang'pao'xiao 疯狂咆哮
'feng'kuang'si'yao 疯狂撕咬
'feng'kuang'zhi'nu 疯狂之怒
'feng'kuang'zhi'ying 疯狂之影
'feng'lai'wu'shan 风来吴山
'feng'lai'wu'shan'guan'ti 风来吴山贯体
'feng'lai'wu'shan'qi'lin 风来吴山麒麟
'feng'lang'ju'xu 封狼居胥
'feng'lei 风雷
'feng'lei'mie'jin 风雷灭尽
'feng'lei'ru'yu'cheng 风雷如御承
'feng'lei'ru'yu'he 风雷如御合
'feng'lei'ru'yu'zhuan 风雷如御转
'feng'lei'suo'hun'jue 风雷锁魂诀
'feng'lei'yin 风雷引
'feng'lei'zhi'bian 风雷之变
'feng'li 封力
'feng'li 风力
'feng'li'ji'zou 疯狸疾走
'feng'lie'xi 风裂袭
'feng'lin'shuang'dong 风凛霜冻
'feng'lin'xiao'qiang'zhen 风林小枪阵
'feng'ling 风灵
'feng'ling'heng'jue'zhen 锋凌横绝阵
'feng'ling'zhi'li 风灵之力
'feng'liu'yun'san 风流云散
'feng'liu'yun'san'guan'ti 风流云散贯体
'feng'lu'qing'wei 风露清微
'feng'luo'shuang'tian 枫落霜天
'feng'luo'shuang'tian'ji 枫落霜天极
'feng'mai 封脉
'feng'mai'zhi'bi 封脉之笔
'feng'mi'zui'hao'he'le 蜂蜜最好喝了
'feng'ming 凤鸣
'feng'ming 锋鸣
'feng'ming'qian'li 凤鸣千里
'feng'ming'zhen'dang 锋鸣震荡
'feng'mo 锋末
'feng'mo'chan'wei'yu 疯魔铲威狱
'feng'mo'zhan 封魔斩
'feng'mo'zhan 疯魔斩
'feng'mu'wan'qing 枫木晚晴
'feng'nian 丰年
'feng'nu 风怒
'feng'pao'xuan'ji 风炮旋击
'feng'po 风破
'feng'qi 风起
'feng'qi'shi 风起时
'feng'qi'yun'yang'jue 风起云扬诀
'feng'qi'yun'yang'tui 风起云扬腿
'feng'qie 风切
'feng'qie'zhi'ren 风切之刃
'feng'qing'ba'ba'juan 凤庆粑粑卷
'feng'qiu 封丘
'feng'qiu'huang 凤求凰
'feng'qu 风驱
'feng'qun'meng'chong 蜂群猛冲
'feng'qun'zhen'di 蜂群震地
'feng'ren 风刃
'feng'ren'chong'ji 风刃冲击
'feng'ren'lian'zhan 锋刃连斩
'feng'ren'luan'wu 锋刃乱舞
'feng'ru'song 风入松
'feng'rui 锋锐
'feng'rui'chuan'yang 锋锐穿杨
'feng'sha'wei'mu 风沙帷幕
'feng'shan'jin 封山劲
'feng'shan'kai'dao 逢山开道
'feng'shang 风裳
'feng'shen 风身
'feng'shen'yu'huo 奉身御火
'feng'sheng'huo'qi 风生火起
'feng'sheng'yu'lu'xi 风生玉露嬉
'feng'sheng'yu'lu'xi 风生玉露戏
'feng'shi 风矢
'feng'shi 风逝
'feng'shi'zhen 锋矢阵
'feng'shu 封枢
'feng'shu'she'hun'zhen 疯鼠摄魂震
'feng'su'wei'tian 风宿帷天
'feng'sui'bu'li 风随不离
'feng'sui'yu'dong 风随予动
'feng'tao'bi'duo 逢套必躲
'feng'tian'fa'e 奉天伐恶
'feng'tian'fa'e'di'xian 奉天伐恶地陷
'feng'tian'fa'e'fa 奉天伐恶罚
'feng'tian'fa'e'tian'ta 奉天伐恶天塌
'feng'tian'fa'e'zui 奉天伐恶罪
'feng'tian'shang'pin'wan'ling'dan 奉天上品万灵丹
'feng'tian'zhong'pin'wan'ling'dan 奉天中品万灵丹
'feng'wu'gong 风蜈攻
'feng'wu'jiu'tian 凤舞九天
'feng'wu'nu 风蜈怒
'feng'wu'yin 风蜈引
'feng'xi 风息
'feng'xi 风袭
'feng'xiang'wu'qing 风香无情
'feng'xiao 枫啸
'feng'xiao 风萧
'feng'xie'shou 风邪手
'feng'xiu'di'ang 风袖低昂
'feng'xiu'di'ang'ni'lian 风袖低昂逆练
'feng'xiu'guan'ti 风袖贯体
'feng'xue 风雪
'feng'xue'jiao'jia 风雪交加
'feng'xue'liang'duan 风雪两断
'feng'xue'ren 封雪刃
'feng'xue'zhen 封血针
'feng'xue'zu'jin 封穴足劲
'feng'ya 风压
'feng'ya 风牙
'feng'yan'cui 风烟翠
'feng'yan'jue 风岩诀
'feng'yi 冯夷
'feng'yi 风倚
'feng'yin 凤吟
'feng'yin 封印
'feng'yin'dao'fa 风吟刀法
'feng'yin'nei'gong 封印内功
'feng'ying 风萦
'feng'yong 锋勇
'feng'yu 风雨
'feng'yu'cui 风欲催
'feng'yu'guan'ti 风雨贯体
'feng'yu'shang'pin'wan'ling'dan 风语上品万灵丹
'feng'yu'wu'tou'jian 凤羽乌头箭
'feng'yu'zhong'pin'wan'ling'dan 风语中品万灵丹
'feng'yuan'zhen'sha 封渊震煞
'feng'yue 封岳
'feng'yun'zhong'suo 风云重锁
'feng'zhe 蜂蜇
'feng'zhen 锋针
'feng'zhen 锋震
'feng'zhen 风震
'feng'zhi 风止
'feng'zhi'shang 风之殇
'feng'zhi'yin 奉知音
'feng'zi'jue 风字诀
'feng'zu'shi'xue 封足失血
'fo'dong'shan'he 佛动山河
'fo'fa'wu'bian 佛法无边
'fo'fa'wu'liang 佛法无量
'fo'guang'du'shi 佛光渡世
'fo'guang'pu'zhao 佛光普照
'fo'guang'qian'shou 佛光千手
'fo'guo 佛果
'fo'guo'guan'ti 佛果贯体
'fo'lian'xiang'yao 佛莲降妖
'fo'mo'jin'quan 佛魔金圈
'fo'sheng'qian'shou 佛生千手
'fo'tiao'qiang 佛跳墙
'fo'xi'gui 佛西归
'fo'xin'jue 佛心诀
'fo'xin'rong'xue 佛心融雪
'fo'xin'rong'xue'nei'jin 佛心融雪内烬
'fu'bo'po'zhen'shi 伏波破阵式
'fu'chang'fu'sui 夫唱妇随
'fu'chen 伏尘
'fu'chen'jie 赴尘劫
'fu'chong 俯冲
'fu'chou 复仇
'fu'chou'zhi'jian 复仇之箭
'fu'dan'hui'xin 蝮胆虺心
'fu'dan'hui'xin'kuang'nu 蝮胆虺心狂怒
'fu'dao 蝠刀
'fu'di 赴敌
'fu'di'chou'xin 釜底抽薪
'fu'ding'xing'wei 符定星位
'fu'du 附毒
'fu'du'zhang'ji 附毒杖击
'fu'e 祓厄
'fu'feng'shui'qiu'shi'ji'xiao'guo 扶风水球实际效果
'fu'gu 腐骨
'fu'gu'du'yan 腐骨毒烟
'fu'gu'shi'sui 附骨食髓
'fu'gu'shu 腐骨术
'fu'guang'an'zhao'feng 浮光暗爪风
'fu'guang'lue'ying 浮光掠影
'fu'guang'lue'ying'guan'ti 浮光掠影贯体
'fu'guo 扶国
'fu'guo 辅国
'fu'hai 符海
'fu'hai 覆海
'fu'hai'shi 服骇世
'fu'hu'gong 伏虎功
'fu'hua 孵化
'fu'hua'e'du 腐化恶毒
'fu'hua'lang'rui 浮花浪蕊
'fu'hua'tong'gui 腐化同归
'fu'huai'du'tan 腐坏毒痰
'fu'huan 复还
'fu'hun 附魂
'fu'huo'hua'zhu'er 伏火花竹二
'fu'huo'hua'zhu'san 伏火花竹三
'fu'huo'hua'zhu'si 伏火花竹四
'fu'huo'hua'zhu'yi 伏火花竹一
'fu'huo'lei 伏火雷
'fu'huo'lei'jing'zhun 伏火雷精准
'fu'huo'xiang'yi 福祸相依
'fu'huo'xiang'yi'fu 福祸相依福
'fu'huo'xiang'yi'huo 福祸相依祸
'fu'ji 扶乩
'fu'ji 斧击
'fu'ju 覆局
'fu'jun'sha'jiang 覆军杀将
'fu'lan 腐烂
'fu'lan'de'sheng'cai 腐烂的生菜
'fu'lan'gan 扶栏杆
'fu'lan'ju'du 腐烂剧毒
'fu'li 复礼
'fu'lian 拂怜
'fu'ling'shuang 茯苓霜
'fu'long'xue'ying 伏龙血影
'fu'long'xue'zhao 伏龙血爪
'fu'long'you 伏龙游
'fu'lue 斧掠
'fu'luo 拂罗
'fu'luo'ying 抚落英
'fu'mie 斧灭
'fu'ming'zhong'sheng 伏明众生
'fu'mo 伏魔
'fu'mo 抚摸
'fu'mo'chan'fa 伏魔铲法
'fu'mo'chan'fa'mie 伏魔铲法灭
'fu'mo'jia'sha'gong 伏魔袈裟功
